Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
NLTC Perera (ICC/SL/World),2010-2021,84,74,22,1204,61,23.15,794,151.63,,3,8,88,64
MS Wade (AUS),2011-2024,92,68,22,1202,80,26.13,896,134.15,,3,1,95,46
TH David (AUS/SGP),2019-2024,54,48,12,1201,92*,33.36,745,161.2,,6,4,100,65
NS Dhaliwal (CAN),2019-2025,45,43,6,1197,70*,32.35,926,129.26,,9,2,96,54
GH Dockrell (IRE),2010-2025,145,95,35,1194,58*,19.9,910,131.2,,2,8,88,43
PD Salt (ENG),2022-2025,43,40,5,1193,119,34.08,726,164.32,3,5,4,116,61
Zubaidi Zulkifle (MAS),2019-2025,64,63,3,1191,96,19.85,833,142.97,,4,11,120,56
RG Mukasa (UGA),2019-2024,58,56,5,1186,89,23.25,982,120.77,,5,8,133,36
RG Mukasa (UGA),2019-2024,58,56,5,1186,89,23.25,982,120.77,,5,8,133,36
Sohail Ahmed (BHR),2022-2025,49,47,17,1182,80*,39.4,1023,115.54,,9,4,76,43
Yuvraj Singh (IND),2007-2017,58,51,9,1177,77*,28.02,863,136.38,,8,1,77,74
KP Pietersen (ENG),2005-2013,37,36,5,1176,79,37.93,831,141.51,,7,1,119,32
DMW Rawlins (BER),2019-2025,41,39,7,1169,91,36.53,803,145.57,,9,2,80,75
Taranjeet Singh (ROM),2021-2025,36,36,3,1168,110,35.39,709,164.73,1,7,1,146,55
